major_category,ai_exposure_score,acs_weighted_score,crosswalk_score,acs_coverage,top_occupations
Computer and Information Sciences,0.337,0.337,0.389,0.81,"Software Developers (0.41); Computer Occupations, All Other (0.41); Managers, All Other (0.19)"
Mathematics and Statistics,0.309,0.309,0.367,0.62,"Software Developers (0.41); Managers, All Other (0.19); Management Analysts (0.44)"
Philosophy and Religious Studies,0.305,0.305,0.396,0.7,"Clergy (0.43); Lawyers (0.24); Managers, All Other (0.19)"
Communications and Journalism,0.303,0.303,0.371,0.72,"Managers, All Other (0.19); Marketing Managers (0.25); Customer Service Representatives (0.56)"
Education,0.299,0.28,0.318,0.34,"Managers, All Other (0.19); Educational, Guidance, and Career Counselors and Advisors (0.45); Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (0.37)"
Economics,0.292,0.292,0.339,0.76,"Managers, All Other (0.19); Lawyers (0.24); Chief Executives (0.21)"
Engineering,0.29,0.29,0.322,0.77,"Software Developers (0.41); Engineers, All Other (0.32); Managers, All Other (0.19)"
"English, Liberal Arts, and Humanities",0.288,0.288,0.389,0.63,"Lawyers (0.24); Managers, All Other (0.19); Chief Executives (0.21)"
Business and Management,0.281,0.281,0.273,0.78,"Accountants and Auditors (0.28); Managers, All Other (0.19); Financial Managers (0.21)"
Visual Arts and Music,0.279,0.279,0.314,0.64,"Graphic Designers (0.29); Managers, All Other (0.19); First-Line Supervisors of Retail Sales Workers (0.17)"
Social Sciences excluding Economics,0.276,0.276,0.342,0.69,"Lawyers (0.24); Managers, All Other (0.19); Chief Executives (0.21)"
Psychology,0.275,0.275,0.299,0.61,"Managers, All Other (0.19); Educational, Guidance, and Career Counselors and Advisors (0.45); Registered Nurses (0.17)"
Physical Sciences,0.269,0.269,0.287,0.61,"Managers, All Other (0.19); Physical Scientists, All Other (0.22); Software Developers (0.41)"
Public Administration and Human Services,0.268,0.268,0.259,0.59,"Managers, All Other (0.19); Social and Community Service Managers (0.21); Lawyers (0.24)"
"Transportation, Construction, and Architecture",0.252,0.252,0.273,0.74,"Architects, Except Landscape and Naval (0.26); Construction Managers (0.21); Managers, All Other (0.19)"
Life Sciences and Biology,0.249,0.249,0.268,0.58,"Managers, All Other (0.19); Physical Scientists, All Other (0.22); Registered Nurses (0.17)"
Agriculture and Natural Resources,0.244,0.244,0.267,0.67,"Managers, All Other (0.19); Farmers, Ranchers, and Other Agricultural Managers (0.14); Veterinarians (0.23)"
Health and Nursing,0.209,0.209,0.217,0.82,Registered Nurses (0.17); Nurse Practitioners (0.19); Pharmacists (0.4)
