state,state_name,rank_in_state,institution,city,control,npv_30yr_resident_usd
AL,Alabama,1,Columbia Southern University,Orange Beach,private-forprofit,4210121
AL,Alabama,2,University of Alabama in Huntsville,Huntsville,public,2488746
AL,Alabama,3,Auburn University,Auburn,public,2200730
AL,Alabama,4,The University of Alabama,Tuscaloosa,public,1820478
AL,Alabama,5,Tuskegee University,Tuskegee,private-nonprofit,1809626
AL,Alabama,6,Faulkner University,Montgomery,private-nonprofit,1441726
AL,Alabama,7,University of Alabama at Birmingham,Birmingham,public,1428165
AL,Alabama,8,University of South Alabama,Mobile,public,1333608
AL,Alabama,9,Auburn University at Montgomery,Montgomery,public,1299531
AL,Alabama,10,Alabama A & M University,Normal,public,1285895
AL,Alabama,11,Athens State University,Athens,public,1238902
AL,Alabama,12,Troy University,Troy,public,1157883
AL,Alabama,13,Jacksonville State University,Jacksonville,public,1142899
AL,Alabama,14,University of North Alabama,Florence,public,856895
AL,Alabama,15,Huntingdon College,Montgomery,private-nonprofit,830764
AK,Alaska,1,University of Alaska Anchorage,Anchorage,public,2344964
AK,Alaska,2,University of Alaska Southeast,Juneau,public,2341012
AK,Alaska,3,University of Alaska Fairbanks,Fairbanks,public,1649748
AZ,Arizona,1,Grand Canyon University,Phoenix,private-forprofit,2930446
AZ,Arizona,2,University of Phoenix-Arizona,Phoenix,private-forprofit,1965296
AZ,Arizona,3,Arizona State University Campus Immersion,Tempe,public,1553205
AZ,Arizona,4,University of Arizona,Tucson,public,1256744
AZ,Arizona,5,Northern Arizona University,Flagstaff,public,1143591
AZ,Arizona,6,American InterContinental University System,Chandler,private-forprofit,1086433
AZ,Arizona,7,University of Advancing Technology,Tempe,private-forprofit,979623
AR,Arkansas,1,University of Arkansas Grantham,LIttle Rock,public,3599217
AR,Arkansas,2,University of Arkansas for Medical Sciences,Little Rock,public,2868332
AR,Arkansas,3,University of Arkansas,Fayetteville,public,2221601
AR,Arkansas,4,John Brown University,Siloam Springs,private-nonprofit,1856667
AR,Arkansas,5,University of Arkansas at Little Rock,Little Rock,public,1715112
AR,Arkansas,6,University of Arkansas-Fort Smith,Fort Smith,public,1316463
AR,Arkansas,7,University of Arkansas at Monticello,Monticello,public,1279068
AR,Arkansas,8,Southern Arkansas University Main Campus,Magnolia,public,1228899
AR,Arkansas,9,Arkansas Tech University,Russellville,public,1061673
AR,Arkansas,10,Arkansas State University,Jonesboro,public,1039097
AR,Arkansas,11,University of Central Arkansas,Conway,public,984278
AR,Arkansas,12,Harding University,Searcy,private-nonprofit,951475
AR,Arkansas,13,Henderson State University,Arkadelphia,public,556205
AR,Arkansas,14,University of Arkansas at Pine Bluff,Pine Bluff,public,365016
AR,Arkansas,15,Philander Smith University,Little Rock,private-nonprofit,292489
CA,California,1,California Institute of Technology,Pasadena,private-nonprofit,10062539
CA,California,2,California State University Maritime Academy,Vallejo,public,6421793
CA,California,3,Harvey Mudd College,Claremont,private-nonprofit,6071463
CA,California,4,Loma Linda University,Loma Linda,private-nonprofit,4620832
CA,California,5,Pomona College,Claremont,private-nonprofit,4318936
CA,California,6,Claremont McKenna College,Claremont,private-nonprofit,4155203
CA,California,7,California Polytechnic State University-San Luis Obispo,San Luis Obispo,public,3020167
CA,California,8,Pacific Union College,Angwin,private-nonprofit,2706133
CA,California,9,Stanford University,Stanford,private-nonprofit,2613534
CA,California,10,National University,San Diego,private-nonprofit,2503037
CA,California,11,University of California-Berkeley,Berkeley,public,2500274
CA,California,12,Southern California Institute of Technology,Anaheim,private-forprofit,2452504
CA,California,13,Dominican University of California,San Rafael,private-nonprofit,2391678
CA,California,14,San Jose State University,San Jose,public,1937028
CA,California,15,California State University-East Bay,Hayward,public,1888912
CO,Colorado,1,Colorado School of Mines,Golden,public,4836958
CO,Colorado,2,Colorado State University Global,Aurora,public,3525183
