rank,institution,state,oos_penalty_30yr_npv_usd,npv_resident_usd,npv_nonresident_usd,tuition_in_state_usd,tuition_out_of_state_usd
1,University of Michigan-Ann Arbor,MI,1422605,2841094,1418489,18309,60107
2,University of Virginia-Main Campus,VA,1269855,2631442,1361587,22323,59633
3,The University of Texas at Austin,TX,1058496,2507021,1448525,11678,42778
4,University of California-San Diego,CA,1047503,1302986,255483,15265,46042
5,University of California-Berkeley,CA,1047502,2500274,1452772,14850,45627
6,Virginia Military Institute,VA,1044950,1457061,412111,20484,51186
7,"University of Maryland, Baltimore",MD,1040185,3313919,2273734,13374,43936
8,University of North Carolina at Chapel Hill,NC,1032663,1589558,556895,8989,39330
9,University of Wisconsin-Madison,WI,1000568,2299905,1299337,11205,40603
10,University of Washington-Seattle Campus,WA,999070,1822874,823804,12643,41997
11,University of Maryland-College Park,MD,980249,2448555,1468306,11505,40306
12,Indiana University-Bloomington,IN,976539,1857193,880654,11790,40482
13,Texas A & M University-College Station,TX,935526,2536850,1601324,12841,40328
14,Michigan State University,MI,911123,2017843,1106720,17270,44040
15,University of Colorado Boulder,CO,898088,1354350,456262,15556,41943
16,University of Arizona,AZ,868137,1256744,388607,13277,38784
17,Ohio State University-Main Campus,OH,868103,1930532,1062429,12859,38365
18,The University of Texas at Dallas,TX,867899,1916422,1048523,14564,40064
19,Citadel Military College of South Carolina,SC,844073,2382141,1538068,12570,37370
20,William & Mary,VA,829472,1008708,179236,25041,49412
21,George Mason University,VA,822427,1933111,1110684,13815,37979
22,Clemson University,SC,814940,2051181,1236241,15554,39498
23,University of Delaware,DE,804593,1914234,1109641,16080,39720
24,Michigan Technological University,MI,794450,4225485,3431035,19747,43089
25,Indiana University-Indianapolis,IN,791932,1759473,967541,10449,33717
26,Montana State University,MT,791456,1583929,792473,8083,31337
27,Colorado School of Mines,CO,789277,4836958,4047681,21186,44376
28,Oregon Institute of Technology,OR,779577,3767437,2987860,12687,35592
29,North Carolina State University at Raleigh,NC,778454,2221649,1443195,8895,31767
30,University of Maine,ME,773961,1481207,707246,12606,35346
31,University of Connecticut,CT,771511,1548086,776575,20366,43034
32,University of Florida,FL,758237,1749229,990992,6381,28659
33,University of South Carolina-Columbia,SC,757454,1661415,903961,12688,34943
34,Oregon State University,OR,754562,1203072,448510,13494,35664
35,University of Iowa,IA,747516,1881981,1134465,10964,32927
36,University of Massachusetts-Amherst,MA,746597,1372905,626308,17357,39293
37,University of Massachusetts-Boston,MA,737748,1259892,522144,15495,37171
38,University of Missouri-St Louis,MO,729035,1347639,618604,14400,35820
39,Auburn University,AL,728626,2200730,1472104,12536,33944
40,The University of Alabama,AL,724951,1820478,1095527,11900,33200
41,Virginia Polytechnic Institute and State University,VA,722091,2607331,1885240,15478,36694
42,University of Illinois Urbana-Champaign,IL,719233,2308631,1589398,18060,39192
43,Georgia Institute of Technology-Main Campus,GA,718552,5161694,4443142,11764,32876
